Siret,Nom,Code NAF,Tranche Effectifs,Adresse,Téléphone
92022171000022,REGARD & MOI ROYE,47.78A,02,12 PLACE JACQUES FLEURY 80700 ROYE,03 22 87 04 19
47918336000011,OPTIC AVL,47.78A,02,IMPASSE DU MOULIN 80700 ROYE,03 22 79 19 19
91455778000022,OPTIQUE PICART,47.78A,01,10 RUE DU COLONEL SORLIN 80700 ROYE,03 22 87 11 11
44867737700013,ROYOP,47.78A,02,2 PLACE JACQUES FLEURY 80700 ROYE,03 22 87 11 11
34899101900020,OPTIC DEVRED,47.78A,02,2 RUE SAINT PIERRE 80700 ROYE,03 22 87 13 63
